Model,MDO34,
Firmware Version,CF:91.1CT FV:v1.6.0,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.02,0.02
Horizontal Delay,0,0
Sample Interval,2E-05,2E-05
Record Length,10000,10000
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1X,1X
Vertical Units,"V","V"
Vertical Offset,29.5,-50
Vertical Scale,1,1
Vertical Position,1.18,-2
,,
,,
,,
Label,"",""
TIME,CH1,CH2
-0.08314,1.02,0.68
-0.08312,0.94,0.68
-0.0831,0.98,0.68
-0.08308,1.02,0.68
-0.08306,0.98,0.68
-0.08304,0.98,0.64
-0.08302,1.02,0.64
-0.083,0.94,0.72
-0.08298,0.98,0.64
-0.08296,0.98,0.68
-0.08294,0.98,0.68
-0.08292,1.02,0.68
-0.0829,1.02,0.68
-0.08288,0.98,0.68
-0.08286,0.98,0.68
-0.08284,0.98,0.68
-0.08282,0.98,0.68
-0.0828,0.98,0.72
-0.08278,0.98,0.64
-0.08276,0.98,0.68
-0.08274,0.98,0.68
-0.08272,1.02,0.68
-0.0827,0.98,0.68
-0.08268,0.98,0.68
-0.08266,0.98,0.68
-0.08264,1.02,0.68
-0.08262,1.02,0.68
-0.0826,1.02,0.68
-0.08258,0.98,0.68
-0.08256,1.02,0.68
-0.08254,0.98,0.68
-0.08252,0.98,0.68
-0.0825,1.02,0.72
-0.08248,0.98,0.68
-0.08246,0.98,0.72
-0.08244,0.98,0.68
-0.08242,0.98,0.72
-0.0824,0.98,0.68
-0.08238,0.98,0.68
-0.08236,0.98,0.68
-0.08234,0.98,0.68
-0.08232,0.98,0.68
-0.0823,0.98,0.68
-0.08228,0.98,0.68
-0.08226,0.98,0.72
